# Tag audit proposals — pilot batch, every 8th flag by code (32 of 254). See #174.
#
# HOW TO REVIEW: delete the rows you disagree with. What survives is applied.
# Nothing else to fill in; the deletions are themselves the record of your call.
#
# WHEN YOU ARE DONE:
#     git add tag-audit/
#     git commit -m "Review tag audit proposals"
#     git push
# Then say so, and the agent runs scripts/apply-tag-audit.mjs, the validators and
# the Playwright suite. Do not edit proposals.original.tsv — the difference
# between it and this file is how your rejections get remembered.
#
# The code column is ISO 3166-1 alpha-2; look one up at
# https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes
# Columns: code, tag, add|remove, confidence, why.
ad	shield	add	high	The arms are a quartered heraldic shield.
ad	motto	add	high	The scroll below the shield reads VIRTVS VNITA FORTIOR.

ba	white	add	high	The band of stars is white; no white is tagged.



eg	shield	add	medium	The eagle of Saladin carries an escutcheon on its breast.

mp	vegetation	add	high	The ring around the star is a lei of flowers and leaves.
ni	triangle	add	high	The emblem is a triangle containing the volcanoes.


pn	shield	add	high	The arms are on a shield, below a crest.

